channel_name,video_id,Date,Time,duration_seconds,views,likes,comments,shorts,title,content_type
RJ Karishma,9UHT4qZ4Zko,8/31/2023,1:54:04 PM,60,"6,830,278.00","384,048.00",890,Yes,madam left madam right #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,g5SPkx89ywE,8/20/2023,8:46:25 AM,60,"3,935,567.00","217,256.00",847,Yes,kuch yaad aaya? #shorts #rjkarishma,"Character / Micro Comedy, Daily Life / Emotions"
RJ Karishma,1dztEUizFf0,8/9/2023,8:14:42 AM,60,"40,836,731.00","1,791,422.00",3900,Yes,thappad se darr nahi lagta sahab #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,eUIDOfSFflU,7/31/2023,11:01:36 AM,59,"6,697,742.00","393,289.00",2093,Yes,kiski yaad aa gai? #rjkarishma #shorts,"Character / Micro Comedy, Daily Life / Emotions"
RJ Karishma,3W3Xw2opy_o,7/26/2023,11:56:52 AM,61,"17,795,519.00","764,172.00",3785,Yes,parshann kardiya hai😝 #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,OnQS8vXjIqg,7/25/2023,10:15:26 AM,61,"3,427,561.00","189,917.00",360,Yes,that one couple in school,"POV / Kids & Teens, Romance / Relationships"
RJ Karishma,V07UvDlu8wo,7/16/2023,6:56:31 AM,60,"14,114,320.00","804,375.00",3546,Yes,ghuuuu morning #rjkarishma,Character / Micro Comedy
RJ Karishma,B97Cg4nVAv8,7/2/2023,6:13:58 AM,61,"6,175,179.00","364,193.00",1356,Yes,no ma’am..yes ma’am,Other
RJ Karishma,ImoxZa2i3cY,6/28/2023,10:06:58 AM,59,"7,899,760.00","382,929.00",814,Yes,just mom things #dhorts #rjkarishma,"Family / Relatable, Character / Micro Comedy"
RJ Karishma,kR0Gt6M1Gvw,6/20/2023,6:11:27 AM,60,"5,236,451.00","303,549.00",737,Yes,don’t touch me #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,UFSk9Jnm-UE,6/15/2023,8:02:02 AM,61,"7,570,258.00","406,475.00",480,Yes,kya kehna chahenge aap log #shorts #rjkarishma,Character / Micro Comedy
